City,Population,Violent crime,Murder and nonnegligent manslaughter,Rape1,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson2
Mamaroneck Village,"19,183",16,0,1,2,13,157,21,122,14,0
Manchester Village,"1,618",0,0,0,0,0,0,0,0,0,0
Manlius Town,"24,168",19,0,5,4,10,254,24,216,14,2
Marcellus Village,"1,717",0,0,0,0,0,4,0,4,0,0
Marlborough Town,"8,601",3,0,0,0,3,45,4,37,4,0
Massena Village,"10,177",11,0,0,3,8,246,29,209,8,0
Maybrook Village,"3,791",1,0,0,0,1,7,2,4,1,0
Mechanicville,"5,072",7,0,0,0,7,32,6,23,3,0
Medina Village,"5,631",12,0,2,3,7,90,20,66,4,4
Menands Village,"3,885",4,0,0,1,3,92,14,74,4,0
Middleport Village,"1,745",1,0,0,0,1,10,2,8,0,0
Middletown,"27,801",87,3,16,16,52,308,45,249,14,2
Millerton Village,"2,958",0,0,0,0,0,10,6,3,1,0
Mohawk Village,"2,533",3,0,1,0,2,24,4,20,0,1
Monroe Village,"8,593",7,0,0,1,6,119,4,114,1,1
Montgomery Village,"4,621",0,0,0,0,0,13,1,12,0,0
Monticello Village,"6,392",25,0,2,4,19,113,27,82,4,0
Moravia Village,"1,200",0,0,0,0,0,11,1,10,0,
Moriah Town,"4,557",1,0,0,0,1,1,0,1,0,0
Mount Hope Town,"6,624",1,0,0,0,1,6,0,6,0,0
Mount Vernon,"67,619",381,2,20,98,261,842,91,642,109,6
Nassau Village,"1,101",0,0,0,0,0,7,1,6,0,0
Newark Village,"8,799",28,0,2,10,16,228,20,202,6,0
New Berlin Town,"1,510",0,0,0,0,0,15,2,12,1,0
Newburgh,"28,070",317,3,19,82,213,640,137,484,19,3
Newburgh Town,"31,128",22,0,2,6,14,911,34,864,13,4
New Castle Town,"17,896",1,0,0,0,1,53,5,48,0,0
New Hartford Town and Village,"20,294",17,0,2,6,9,617,21,587,9,3
New Rochelle,"78,936",98,0,9,34,55,762,35,696,31,
New Windsor Town,"27,971",28,2,3,1,22,271,34,235,2,2
New York,"8,379,043","47,821",319,"2,770","13,396","31,336","122,299","9,846","106,931","5,522",
New York Mills Village,"3,217",0,0,0,0,0,39,5,32,2,0
Niagara Falls,"47,900",431,2,32,101,296,"1,848",266,"1,471",111,25
Niagara Town,"7,958",4,0,0,2,2,212,9,194,9,1
Niskayuna Town,"22,407",11,0,1,4,6,308,23,275,10,0
Nissequogue Village,"1,731",0,0,0,0,0,5,1,3,1,0
Norfolk Town,"4,375",1,0,0,0,1,4,2,2,0,0
North Castle Town,"12,248",4,0,0,0,4,75,5,66,4,0
Northport Village,"7,288",0,0,0,0,0,7,0,7,0,0
North Syracuse Village,"6,637",14,0,0,5,9,70,5,61,4,0
North Tonawanda,"30,228",44,0,11,13,20,351,47,288,16,1
Norwich,"6,581",28,0,15,0,13,186,31,153,2,0
Norwood Village,"1,553",2,0,0,0,2,6,2,4,0,1
Ocean Beach Village,83,0,0,0,0,0,9,0,9,0,0
Ogdensburg,"10,484",36,0,3,2,31,296,56,237,3,2
Ogden Town,"20,144",10,1,0,2,7,141,2,129,10,0
Old Brookville Village,"2,202",1,0,0,0,1,45,9,27,9,0
Old Westbury Village,"4,752",1,0,0,0,1,47,13,20,14,1
Olean,"13,499",45,0,9,4,32,310,36,266,8,2
Oneida,"10,864",41,0,15,4,22,372,44,326,2,0
Oneonta City,"13,915",34,0,10,3,21,145,29,108,8,1
Orangetown Town,"37,371",34,0,5,12,17,265,27,234,4,1
Orchard Park Town,"29,599",24,0,9,4,11,345,31,306,8,0
Oriskany Village,"1,329",0,0,0,0,0,10,0,10,0,0
Ossining Village,"24,991",20,1,1,4,14,157,13,141,3,0
Oswego City,"17,239",51,0,17,4,30,583,56,503,24,1
Owego Village,"3,887",17,0,8,2,7,114,19,94,1,0
Oxford Village,"1,379",0,0,0,0,0,2,0,2,0,
Oyster Bay Cove Village,"4,296",1,0,0,0,1,7,1,4,2,0
Painted Post Village,"1,953",1,0,0,0,1,8,3,4,1,0
Palmyra Village,"3,316",4,0,2,1,1,7,0,6,1,0
Peekskill,"24,243",30,0,1,7,22,209,7,196,6,0
Pelham Manor Village,"5,567",7,0,0,2,5,149,10,134,5,0
Pelham Village,"6,911",4,0,0,1,3,45,3,41,1,0
Penn Yan Village,"4,910",5,0,4,0,1,51,8,42,1,1
Perry Village,"3,442",4,0,3,0,1,36,7,27,2,0
Philmont Village,"1,260",0,0,0,0,0,3,0,3,0,0
Phoenix Village,"2,242",4,0,0,0,4,15,0,15,0,0
Piermont Village,"2,538",0,0,0,0,0,4,1,3,0,0
Pine Plains Town,"2,402",0,0,0,0,0,0,0,0,0,0
Plattekill Town,"10,160",2,0,0,0,2,22,7,15,0,0
Plattsburgh City,"19,367",36,0,13,1,22,243,22,219,2,3
Pleasantville Village,"7,261",6,3,0,3,0,38,3,35,0,0
Port Chester Village,"29,317",21,1,2,7,11,200,18,172,10,1
Port Jervis,"8,523",37,1,7,3,26,137,14,117,6,1
Port Washington,"19,396",6,0,0,2,4,91,6,82,3,1
Potsdam Village,"8,917",2,0,0,1,1,67,8,58,1,0
Poughkeepsie,"30,422",235,3,26,63,143,513,73,402,38,5
Poughkeepsie Town,"38,889",70,2,12,20,36,991,65,893,33,3
Pound Ridge Town,"5,159",1,0,1,0,0,34,2,32,0,0
Pulaski Village,"2,227",0,0,0,0,0,22,2,20,0,0
Quogue Village,"1,015",1,0,0,0,1,29,0,28,1,1
Ramapo Town,"94,633",68,1,16,5,46,436,36,380,20,4
Red Hook Village,"1,956",1,0,0,0,1,38,9,29,0,0
Rhinebeck Village,"2,556",1,0,0,0,1,21,3,18,0,0
Riverhead Town,"33,536",33,1,3,10,19,568,43,516,9,4
Rochester,"205,769","1,540",33,102,429,976,"7,142","1,269","5,222",651,83
Rockville Centre Village,"24,669",10,0,0,3,7,175,19,139,17,0
Rome,"32,019",54,1,8,11,34,524,84,416,24,2
Rosendale Town,"5,826",1,0,0,0,1,26,3,23,0,0
Rotterdam Town,"29,855",32,0,4,3,25,754,54,669,31,0
Rye,"15,756",1,0,0,1,0,15,1,11,3,0
Rye Brook Village,"9,530",0,0,0,0,0,69,6,58,5,0
Sackets Harbor Village,"1,413",0,0,0,0,0,0,0,0,0,0
Sag Harbor Village,"2,298",0,0,0,0,0,0,0,0,0,0
Salamanca,"5,439",24,0,0,4,20,54,8,43,3,1
Sands Point Village,"2,912",1,0,1,0,0,29,5,12,12,0
Saranac Lake Village,"5,221",4,0,2,0,2,35,8,26,1,0
Saratoga Springs,"28,186",64,0,19,5,40,448,51,390,7,3
Saugerties Town,"19,095",27,0,8,0,19,165,28,132,5,1
Scarsdale Village,"17,954",6,0,0,0,6,117,12,104,1,0
Schenectady,"65,504",528,3,56,133,336,"1,770",248,"1,392",130,20
Schodack Town,"11,722",9,0,2,2,5,74,11,59,4,0
Schoharie Village,818,0,0,0,0,0,0,0,0,0,0
Scotia Village,"7,641",15,0,4,5,6,111,11,94,6,0
Seneca Falls Town,"8,632",9,0,3,1,5,205,15,187,3,0
Shandaken Town,"2,947",0,0,0,0,0,9,1,8,0,0
Shawangunk Town,"13,853",2,0,1,0,1,41,8,30,3,0
Sherburne Village,"1,302",0,0,0,0,0,13,0,13,0,0
Sherrill,"2,991",0,0,0,0,0,6,3,3,0,0
Shortsville Village,"1,419",0,0,0,0,0,1,0,1,0,0
Sidney Village,"3,573",16,0,6,2,8,119,7,109,3,1
Skaneateles Village,"2,464",0,0,0,0,0,40,1,39,0,0
Sleepy Hollow Village,"10,080",0,0,0,0,0,0,0,0,0,0
Solvay Village,"6,227",13,0,2,1,10,65,17,40,8,0
Southampton Town,"51,090",46,0,9,6,31,474,42,411,21,0
Southampton Village,"3,326",1,0,0,0,1,48,6,38,4,0
